mission_id,origin,destination,departure_utc,departure_time_j2000_s,travel_days,payload_mass_kg,departure_orbit_km,arrival_orbit_km,departure_distance_au,arrival_distance_au,mean_distance_au,min_distance_au,departure_solar_flux_w_m2,mean_solar_flux_w_m2,dv_ejection_mps,dv_injection_mps,dv_total_mps,phase_angle_deg,transfer_angle_deg,long_way,correction_reserve_dv_mps,best_architecture,best_stage_count,best_launch_mass_kg,best_total_loaded_propellant_kg,best_total_boiloff_mass_kg,best_total_tank_mass_kg,best_tank_carry_proxy_kg,best_total_dry_mass_kg,best_architecture_realism_penalty_kg,best_total_penalty_kg,best_stage_1_role,best_stage_1_segment,best_stage_1_propellant,best_stage_1_engine_key,best_stage_1_engine_count,best_stage_1_engine_isp_seconds,best_stage_1_engine_thrust_kn,best_stage_1_total_engine_mass_kg,best_stage_1_available_thrust_kn,best_stage_1_dv_mps,best_stage_1_storage_days,best_stage_1_boiloff_fraction,best_stage_1_loaded_propellant_kg,best_stage_1_burn_propellant_kg,best_stage_1_boiloff_mass_kg,best_stage_1_tank_mass_kg,best_stage_1_structure_mass_kg,best_stage_1_dry_mass_kg,best_stage_1_initial_mass_kg,best_stage_1_penalty_kg,best_stage_1_reason,best_stage_2_role,best_stage_2_segment,best_stage_2_propellant,best_stage_2_engine_key,best_stage_2_engine_count,best_stage_2_engine_isp_seconds,best_stage_2_engine_thrust_kn,best_stage_2_total_engine_mass_kg,best_stage_2_available_thrust_kn,best_stage_2_dv_mps,best_stage_2_storage_days,best_stage_2_boiloff_fraction,best_stage_2_loaded_propellant_kg,best_stage_2_burn_propellant_kg,best_stage_2_boiloff_mass_kg,best_stage_2_tank_mass_kg,best_stage_2_structure_mass_kg,best_stage_2_dry_mass_kg,best_stage_2_initial_mass_kg,best_stage_2_penalty_kg,best_stage_2_reason,best_stage_3_role,best_stage_3_segment,best_stage_3_propellant,best_stage_3_engine_key,best_stage_3_engine_count,best_stage_3_engine_isp_seconds,best_stage_3_engine_thrust_kn,best_stage_3_total_engine_mass_kg,best_stage_3_available_thrust_kn,best_stage_3_dv_mps,best_stage_3_storage_days,best_stage_3_boiloff_fraction,best_stage_3_loaded_propellant_kg,best_stage_3_burn_propellant_kg,best_stage_3_boiloff_mass_kg,best_stage_3_tank_mass_kg,best_stage_3_structure_mass_kg,best_stage_3_dry_mass_kg,best_stage_3_initial_mass_kg,best_stage_3_penalty_kg,best_stage_3_reason,best_stage_4_role,best_stage_4_segment,best_stage_4_propellant,best_stage_4_engine_key,best_stage_4_engine_count,best_stage_4_engine_isp_seconds,best_stage_4_engine_thrust_kn,best_stage_4_total_engine_mass_kg,best_stage_4_available_thrust_kn,best_stage_4_dv_mps,best_stage_4_storage_days,best_stage_4_boiloff_fraction,best_stage_4_loaded_propellant_kg,best_stage_4_burn_propellant_kg,best_stage_4_boiloff_mass_kg,best_stage_4_tank_mass_kg,best_stage_4_structure_mass_kg,best_stage_4_dry_mass_kg,best_stage_4_initial_mass_kg,best_stage_4_penalty_kg,best_stage_4_reason,best_stage_5_role,best_stage_5_segment,best_stage_5_propellant,best_stage_5_engine_key,best_stage_5_engine_count,best_stage_5_engine_isp_seconds,best_stage_5_engine_thrust_kn,best_stage_5_total_engine_mass_kg,best_stage_5_available_thrust_kn,best_stage_5_dv_mps,best_stage_5_storage_days,best_stage_5_boiloff_fraction,best_stage_5_loaded_propellant_kg,best_stage_5_burn_propellant_kg,best_stage_5_boiloff_mass_kg,best_stage_5_tank_mass_kg,best_stage_5_structure_mass_kg,best_stage_5_dry_mass_kg,best_stage_5_initial_mass_kg,best_stage_5_penalty_kg,best_stage_5_reason
1,Venus,Earth,2034-08-08T10:37:38Z,1091918258.19544,119.596697,16549.320502,748.795176,446.098869,0.726952,0.985391,0.856171,0.726952,2575.41108,1856.678542,3579.994679,520.832074,4100.826753,45.393542,163.354586,False,123.024803,lox_lh2__lox_lh2__nto_mmh,3,68121.876153,39295.972351,529.709446,6352.526318,8813.678019,12276.5833,3600,6631.626858,booster,Departure,lox_lh2,rs25e,1,452,2279,3527,2279,2076.396914,1.250098,0.008786,25619.857009,25394.764412,225.092597,4282.221391,927.770491,8736.991881,68121.876153,1362.437523,,departure_upper,Departure,lox_lh2,rl10b2,2,465.5,110.1,602,220.2,1503.597765,4.375343,0.030414,9687.335325,9392.701842,294.633483,1679.458154,396.793286,2678.25144,33765.027262,759.713113,,cruise_arrival,Arrival,nto_mmh,aj10_190,2,319,43.7,220,87.4,643.856877,119.596697,0.002503,3988.780017,3978.796651,9.983366,390.846774,250.493205,861.339979,21399.440498,909.476221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Uranus,Saturn,2038-01-08T06:30:41Z,1199817041.37558,5650.256799,3458.373412,27691.990455,193502.756006,18.719678,9.740378,14.230028,9.740378,3.88384,6.721196,4487.812026,355.776426,4843.588453,-310.990311,226.559274,True,145.307654,lox_ch4__lox_lh2__nto_mmh,3,25028.206997,16828.170087,54.771272,2022.413842,2734.819668,4741.663497,0,782.663235,booster,Departure,lox_ch4,raptor,1,350,2747,1525,2747,2602.930975,2.852362,0.000143,13305.001532,13303.104133,1.897399,1412.551677,469.687395,3407.239072,25028.206997,436.415485,,departure_upper,Departure,lox_lh2,rl10b2,1,465.5,110.1,301,110.1,1884.881051,9.983268,0.001294,2815.458817,2811.815678,3.64314,507.318502,193.978527,1002.297029,8315.966393,166.319328,,cruise_arrival,Arrival,nto_mmh,aj10_190,1,319,43.7,110,43.7,501.08408,5650.256799,0.069563,707.709738,658.479005,49.230733,102.543662,119.583734,332.127396,4498.210547,179.928422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jupiter,Venus,2030-11-06T15:10:32Z,973480232.795869,1020.940243,4544.791968,139200.698494,621.690343,5.351282,0.72111,3.036196,0.72111,47.527231,147.638159,10886.698808,5380.986402,16267.685211,-11.865356,182.356321,True,300,lox_ch4__lox_ch4__lox_ch4__lox_lh2__nto_mmh,5,3189626.963741,2839948.25152,1167.450888,297494.075748,414492.328671,345133.920253,4080,197064.407763,booster,Departure,lox_ch4,raptor,13,350,2747,19825,35711,4136.945547,0.779953,0.000039,2234023.312125,2233936.192197,87.119928,230606.621513,12783.002497,263214.62401,3189626.963741,165285.973021,,departure_mid,Departure,lox_ch4,raptor_vac,2,380,2580,3200,5160,2939.408678,1.559905,0.000078,377781.547451,377752.083426,29.464025,39501.05146,4205.513725,46906.565185,692389.027606,14469.760892,,departure_mid,Departure,lox_ch4,raptor_vac,1,380,2580,1600,2580,2177.339762,2.729834,0.000136,118464.945031,118448.776649,16.168381,12561.200429,2183.370978,16344.571407,267700.914971,4342.368711,,departure_upper,Departure,lox_lh2,rl10b2,6,465.5,110.1,1806,660.6,1633.004821,4.28974,0.000556,39980.431522,39958.193679,22.237844,6926.008778,1136.509386,9868.518164,132891.398533,4318.970452,,cruise_arrival,Arrival,nto_mmh,aj10_190,7,319,43.7,770,305.9,5680.986402,1020.940243,0.014526,69698.015391,68685.554681,1012.46071,7899.193568,130.44792,8799.641488,83042.448847,4567.334687,
4,Earth,Mars,2026-08-14T06:20:26Z,839960426.361695,222.402712,16717.155671,560.970466,912.93495,1.013048,1.664093,1.338571,1.013048,1326.166139,759.583471,6110.896117,1098.278317,7209.174434,99.378509,203.722687,True,216.275233,lox_lh2__lox_lh2__nto_mmh,3,181353.822042,135513.298896,950.869928,22243.971199,28686.306114,29123.367475,3600,9970.484811,booster,Departure,lox_lh2,rs25e,1,452,2279,3527,2279,3544.319748,1.413583,0.004797,100049.576164,99569.649648,479.926516,16768.054284,1393.089832,21688.144115,181353.822042,3627.076441,,departure_upper,Departure,lox_lh2,rl10b2,3,465.5,110.1,903,330.3,2566.576369,4.947541,0.016689,25884.89405,25452.909423,431.984627,4509.498916,474.134887,5886.633803,59616.101763,1490.402544,,cruise_arrival,Arrival,nto_mmh,aj10_190,3,319,43.7,330,131.1,1314.55355,222.402712,0.004067,9578.828682,9539.869897,38.958786,966.418,252.171557,1548.589556,27844.57391,1253.005826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saturn,Jupiter,2026-05-14T17:32:55Z,832051975.461869,4578.691096,474.412287,108243.247768,185940.261856,9.484746,5.339929,7.412338,5.339929,15.128876,24.771238,6700.033549,629.295451,7329.329,-246.036508,133.589781,False,219.87987,lox_ch4__lox_lh2__hydrazine,3,19497.076394,14897.667387,11.584199,1669.483591,2018.411711,4124.99672,0,525.254947,booster,Departure,lox_ch4,raptor,1,350,2747,1525,2747,3886.019458,1.238043,0.000062,13212.863722,13212.045843,0.817879,1374.969044,374.181125,3274.150169,19497.076394,411.445102,,departure_upper,Departure,lox_lh2,rl10b2,1,465.5,110.1,301,110.1,2814.01409,4.333149,0.000562,1385.450255,1384.671847,0.778409,240.100973,151.187881,692.288854,3010.062502,60.20125,,cruise_arrival,Arrival,hydrazine,mr111g,4,230,0.44,14.4,1.76,849.175321,4578.691096,0.033365,299.353409,289.365498,9.987911,54.413573,89.744123,158.557696,932.323393,53.608595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Uranus,Jupiter,2032-07-20T12:04:09Z,1027209849.81947,7814.325788,753.176253,54310.851486,250547.638901,19.06924,5.408578,12.238909,5.408578,3.742755,9.085999,3812.718579,428.388221,4241.1068,-150.588074,140.848101,False,127.233204,lox_ch4__lox_lh2__hydrazine,3,9297.172451,5435.58521,16.471045,652.135943,893.836728,3108.410988,0,273.63023,booster,Departure,lox_ch4,raptor,1,350,2747,1525,2747,2211.376776,2.102388,0.000105,4416.020167,4415.555982,0.464185,464.982683,365.462724,2355.445407,9297.172451,151.713299,,departure_upper,Departure,lox_lh2,rl10b2,1,465.5,110.1,301,110.1,1601.341803,7.358359,0.000954,747.774042,747.06073,0.713311,132.605736,154.280559,587.886294,2525.706877,50.514138,,cruise_arrival,Arrival,hydrazine,mr111g,5,230,0.44,18,2.2,555.621425,7814.325788,0.05627,271.791002,256.497453,15.293549,54.547525,92.531763,165.079287,1190.046542,71.402793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Earth,Mars,2035-06-27T16:19:31Z,1119845971.75898,199.615702,30628.985795,552.341604,877.542404,1.016565,1.501851,1.259208,1.016565,1317.007305,858.347712,4656.474889,2753.296719,7409.771607,26.406261,147.350798,False,222.293148,lox_lh2__lox_lh2__nto_mmh,3,391869.097153,300103.921694,1130.770347,45951.614636,68385.843549,61136.189664,3600,24129.755002,booster,Departure,lox_lh2,rs25e,2,452,2279,7054,4558,2700.755435,0.688218,0.002321,179021.965696,178606.534696,415.431,29592.537362,3429.87298,40076.410342,391869.097153,8817.054686,,departure_upper,Departure,lox_lh2,rl10b2,7,465.5,110.1,2107,770.7,1955.719453,2.408762,0.008098,60523.034116,60032.892934,490.141181,10283.925636,1322.41219,13713.337826,172770.721115,6046.975239,,cruise_arrival,Arrival,nto_mmh,aj10_190,8,319,43.7,880,349.6,2975.589867,199.615702,0.003719,60558.921882,60333.723716,225.198166,6075.151639,391.289858,7346.441496,98534.349174,5665.725077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Venus,Saturn,2036-01-24T20:25:38Z,1138091138.14918,1235.486611,7796.252602,209.693256,87628.882557,0.723012,9.470916,5.096964,0.723012,2603.55778,52.388382,15429.887874,870.135432,16300.023305,89.943324,133.487482,False,300,lox_ch4__lox_ch4__lox_lh2__lox_lh2__nto_mmh,5,3138674.54732,2805587.548374,6644.924339,293976.127017,332530.544363,325290.746345,6800,188248.610841,booster,Departure,lox_ch4,raptor,13,350,2747,19825,35711,5863.357392,0.958427,0.001832,2570868.496243,2566159.26789,4709.228353,266277.127871,5295.354241,291397.482113,3138674.54732,172627.100103,,departure_mid,Departure,lox_ch4,raptor_vac,1,380,2580,1600,2580,4166.069726,1.916853,0.00366,186259.834073,185578.090347,681.743726,19567.619307,1206.617472,22374.236779,276408.568965,6054.192464,,departure_mid,Departure,lox_lh2,vinci,3,457,180,1650,540,3085.977575,3.354493,0.02368,34138.252069,33329.858738,808.393331,5861.662065,573.269714,8084.931779,67774.498113,1694.362453,,departure_upper,Departure,lox_lh2,rl10b2,2,465.5,110.1,602,220.2,2314.483181,5.271346,0.036959,10393.220449,10009.099638,384.120811,1815.397184,289.415375,2706.812559,25551.314265,574.904571,,cruise_arrival,Arrival,nto_mmh,aj10_190,1,319,43.7,110,43.7,1170.135432,1235.486611,0.015642,3927.74554,3866.307422,61.438118,454.320589,162.962526,727.283115,12451.281257,498.05125,
9,Saturn,Uranus,2035-11-07T00:25:18Z,1131279918.12321,9101.782769,1284.337908,80422.558452,60076.850984,9.120033,18.530089,13.825061,9.120033,16.363088,7.120722,7856.870764,619.513381,8476.384145,329.721609,85.200823,False,254.291524,lox_ch4__lox_lh2__nto_mmh,3,45537.134587,37449.571884,66.799919,4164.249615,4938.099873,6803.224795,0,1267.036952,booster,Departure,lox_ch4,raptor,1,350,2747,1525,2747,4556.985043,1.22622,0.000061,33466.001245,33463.949474,2.051771,3481.918674,439.249375,5446.16805,45537.134587,1048.262892,,departure_upper,Departure,lox_lh2,rl10b2,1,465.5,110.1,301,110.1,3299.885721,4.291769,0.000556,3410.402389,3408.504564,1.897825,590.811622,165.882426,1057.694049,6624.965292,132.499306,,cruise_arrival,Arrival,nto_mmh,aj10_190,1,319,43.7,110,43.7,873.804906,9101.782769,0.109654,573.16825,510.317927,62.850323,91.519318,97.843379,299.362697,2156.868855,86.274754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mars,Jupiter,2040-07-08T21:51:27Z,1278669087.25161,1869.753492,1040.483874,611.95497,254481.865329,1.644761,4.999609,3.322185,1.644761,503.097961,123.313471,6576.423456,344.84118,6921.264635,359.643091,150.684725,False,207.637939,lox_ch4__lox_lh2__nto_mmh,3,24280.047489,18526.110453,51.761429,2125.824112,2546.235732,4713.453162,0,655.116138,booster,Departure,lox_ch4,raptor,1,350,2747,1525,2747,3814.325604,3.214535,0.001188,16295.058436,16275.70712,19.351316,1736.186178,397.866848,3659.053026,24280.047489,507.406209,,departure_upper,Departure,lox_lh2,rl10b2,1,465.5,110.1,301,110.1,2762.097851,11.250872,0.013091,1977.934196,1952.041238,25.892958,358.864248,158.357363,818.221611,4325.936027,86.518721,,cruise_arrival,Arrival,nto_mmh,aj10_190,1,319,43.7,110,43.7,552.479119,1869.753492,0.025748,253.117821,246.600667,6.517154,30.773686,95.404839,236.178525,1529.78022,61.191209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
